cab|n.出租车，出租马车；驾驶室 vi.乘出租马车
cheer|v.(使)振奋,(使)高兴 v./n.喝彩,欢呼
cheese|n.干酪,乳酪
chef|n.(餐馆等的)厨师长，厨师
chemical|a.化学的 n.(pl.)化学制品,化学药品
chemist|n.化学家;药剂师
chemistry|n.化学
cheque|n.(check)支票,空白支票;总收入
cherish|vt.抱有，怀有(希望等)；爱护，抚育；珍爱
cherry|n.樱桃(树)
chess|n.棋，国际象棋
chest|n.胸腔,胸膛;箱,柜
chew|v.咀嚼;思量
chicken|n.鸡肉；鸡，小鸡，小鸟
chief|a.主要的,首要的 n.首领,领袖
child|n.( [pl.] children)小孩，儿童，儿女
childhood|n.幼年,童年
chill|n.寒冷,寒气,寒战 v.使寒冷
chimney|n.烟囱
chin|n.下巴,颏
china|n.瓷器
chip|n.切屑,碎片;(土豆等的)薄片;集成电路块
chocolate|n.巧克力(糖),赭色
choice|n.选择(机会),抉择,选择项;入选者 a.精选的
choke|v.窒息,噎住;闷塞,堵塞,阻塞
choose|v.选择,挑选;甘愿
chop|v.砍,劈,斩 n.排骨,肉块
chorus|n.合唱队;合唱 v.异口同声地说,随声附和
Christ|n.基督，救世主，耶稣
Christian|n.基督教徒 a.基督教徒的
Christmas|n．圣诞节
chronic|a.(疾病)慢性的;积习难改的;严重的,坏的
church|n.教堂；教会,教派；（宗教的）礼拜仪式
cigar|n.雪茄烟
cigaret|n.(cigarette)香烟,纸烟,卷烟
cinema|n.电影院;电影,影片
circle|n.圆,圆周;集团;周期,循环 v.环绕,旋转
circuit|n.环行,周线,巡回;电路,线路
circular|a.圆(形)的,环形的;循环的 n.传单,通报
circulate|v.(使)循环,(使)流通
circumference|n.圆周,周围
circus|n.马戏团,杂技团;马戏场,杂技场
cite|v.引用,引证,举(例)
citizen|n.公民;市民,居民
city|n．城市；都市；市
civil|a.公民的,市民的;民间的;民用的;有礼貌的
civilian|n.平民 a.平民的;民用的
civilization|n.(=civilisation)文明,文化
civilize|v.(=civilise)使文明,开化
claim|v.要求;声称;索赔 n.要求;断言;索赔;权利
clap|v.拍手,拍,轻拍 n.拍(手),掌声,霹雳声
clarify|v.澄清,阐明
clarity|n.清晰,明晰
clash|v./n.碰撞 n.碰撞声
clasp|n.扣子,钩子;握手 v.扣住,钩住;紧握,紧抱
class|n.班级，年级；种类，等级，阶级；(一节)课
classic|n.(pl.)杰作,名著 a.第一流的,不朽的
classical|a.经典的,古典(文学)的
classification|n.分类,分级
classify|v.分类,分等(级)
classmate|(名)同班同学
classroom|n.教室，课堂
clause|n.(正式文件或法律文件的)条款;从句,分句
claw|n.爪,脚爪
clay|n.粘土,泥土
clean|a.清洁的，干净的 v.除去..污垢,把...弄干净
clear|a./ad.清晰的(地)vt.清除；使清楚 vi.变清澈
clergy|n.[总称]牧师，神职人员
clerk|n.职员,办事员;店员
clever|a.聪明的,伶俐的,机敏的,精巧的
click|n.滴答声；vi.发出滴答声
client|n.律师等的当事人，委托人；商店的顾客
cliff|n.悬崖;峭壁
climate|n.气候;风气,社会思潮
climax|n.顶点,高潮
climb|v./n.攀登,爬
cling|v.(to)粘住;依附;坚持
clinic|n.诊所
clip|v.剪,修剪;钳,夹住 n.夹,钳;回形针
cloak|n.斗蓬，披风；掩饰，幌子 vt.掩盖，掩饰
clock|n.钟 vt.记录(时间、速度等)，为„计时
clockwise|a.顺时针方向
clone|n.无性繁殖，克隆；复制品 v.克隆
close|v./n.关；结束 a./ad.近的(地)；紧密的(地)
closet|n.(壁)橱 a.私下的 vt.把„引进密室会谈
cloth|n.(一块)布,织物,衣料
clothe|v.(给„)穿衣,供给„衣服
clothes|n.衣服(虽为复数，亦不可数)
clothing|n.服装,被褥
cloud|n.云(状物);遮暗物,阴影;一大群
cloudy|a.多云的,阴(天)的;混浊的,模糊的
club|n.俱乐部,夜总会;社团;棍棒,球棒
clue|n.线索,暗示
clumsy|a.笨拙的,愚笨的
cluster|n.丛,群,串 v.群集,丛生
clutch|v.抓住,攫住,掌握 n.离合器
coach|n.长途公共汽车；教练 vt.训练，指导，培训
coal|n.煤,煤块
coalition|n.结合体，同盟；结合，联合
coarse|a.粗糙的,粗劣的;粗鲁的,粗俗的
coast|n.海岸,海滨
coat|n.上衣，外套；表皮；层,覆盖物 v.涂(盖)上
cocaine|n.可卡因，古柯碱（用作局部麻醉剂）
cock|n.公鸡,雄鸡;龙头,开关
code|n.代码,代号,密码;法典,法规,规划
coffee|n.咖啡(色)
cognitive|a.认知的，认识能力的
coherent|a.一致的，协调的；(话语等)条理清楚的
cohesive|a.粘合性的，有结合力的
coil|v.卷,盘绕 n.(一)卷,(一)圈;线圈,绕组
coin|n.硬币,货币 v.铸造(硬币),创造(新词)
coincide|vi.同时发生；巧合；一致；相符；
coincidence|n.巧合；同时发生，共同存在；符合，一致
coke|n.焦炭；可口可乐（COCA-COLA）的缩写
cold|a.冷的，寒冷的；冷淡的 n.冷，寒冷；伤风
collaborate|vi.协作，合作；(与敌人)勾结
collapse|v./n.倒塌；崩溃；(价格)暴跌；倒闭，破产
collar|n.衣领;环状物
colleague|n.同事,同僚
collect|v.收集,搜集;领取,接走;收(税等);聚集,堆积
collection|n.收藏(品),收集(物)
collective|n.集体 a.集体的,共同的
college|n.学院,高等专科学校,大学
collide|vi.[with]互撞，碰撞；冲突，抵触
collision|n.碰撞；(利益，意见等的)冲突，抵触
colonel|n.(陆军)上校
colonial|a.殖民地的，关于殖民的 n.殖民地居民
colony|n.殖民地；侨民；聚居区；(动植物的)群体
color|n.(=colour)颜色；颜料；肤色 v.给„着色
column|n.圆柱,柱状物;列;(报刊中的)专栏
comb|n.梳子 v.梳(理)
combat|v./n.战斗,搏斗,格斗
combination|n.结合，联合；化合；团体；组合数码
combine|v.联合；结合；化合 n.集团；联合企业
come|v.来；出现于，产生；是，成为；开始，终于
comedy|n.喜剧;喜剧性事件
comfort|n.舒适，安逸；安慰，慰问 v.安慰，使舒适
comfortable|a.舒适的，舒服的；感到舒适的，安逸的
comic|a.喜剧的，滑稽的 n.连环漫画杂志；喜剧演员
command|n./v.命令，指挥，控制 n.掌握，运用能力
commemorate|vt.纪念，庆祝
commence|vt.开始 vi.获得学位
commend|v.称赞，表扬：委托保管；推荐
comment|n.注释,评论,意见 v.(on)注释,评论
commerce|n.商业，贸易；交际，交往
commercial|a.商业的；商务的；可获利的 n.广告节目
commission|n.委员会;委任,委托(书),代办;佣金,手续费
commit|v.把„交托给,提交;犯(错误),干(坏事)
committee|n.委员会,全体委员
commodity|n.(pl.)日用品；商品；农/矿产品；有用之物
common|a.普通的；共同的；一般的；n.公有地
commonplace|a.普通的，平庸的 n.寻常的事物，平庸的东西
commonwealth|n.共和国,联邦,共同体
communicate|v.传达,传送;交流;通讯,通话
communication|n.通讯,传达;(pl.)通讯系统;交通(工具)
communism|n.共产主义
community|n.同一地区的全体居民,社会,社区;共同体
commute|v.乘公交车上下班,乘车(船等)往返于两地
compact|a.紧密的,结实的;简明的 v.使紧凑,压缩
companion|n.同伴,共事者;伴侣
company|n.公司;陪伴;宾客;连(队),(一)群,队,伙
comparable|a.(with,to)可比较的,比得上的
comparative|a.比较的,相当的
compare|vt.(to，with)比较；(to)把„比作 vi.相比
comparison|n.比较,对比,比喻,比拟
compartment|n.卧车包房,(客车车厢内的)隔间;分隔的空间
compass|n.罗盘,指南针;(pl.)圆规
compassion|n.同情；怜悯(for)
compatible|a.能和睦相处的,合得来的;兼容的
compel|v.强迫,迫使
compensate|v.(for)补偿,赔偿
compensation|n.补偿(或赔偿)的款物；补偿，赔偿
compete|vi.比赛；竞争；对抗
competent|a.有能力的，能胜任的；足够的
competition|n.竞争，比赛；角逐，较量；[总称]竞争者
competitive|a.竞争的；好竞争的；(价格等的)有竞争力的
compile|vt.编辑，编制，搜集
complain|v.(about,of)抱怨;申诉
complaint|n.抱怨，诉苦，怨言，控告；疾病
complement|n.补足物，船上的定员；补语 vt.补充，补足
complete|a.完全的,圆满的 v.完成,结束,使完满
complex|a.复杂的;合成的,综合的 n.联合体
complicate|v.使..复杂；使..难懂；使（疾病等）恶化；
complicated|a.错综复杂的,麻烦的,难解的
complication|n.复杂,纠纷;并发症
compliment|n.(pl.)问候,致意 n./v.称赞,恭维
comply|v.(with)遵照，照做，应允；顺从，服从
component|n.组成部分,成分,元件 a.组成的,合成的
compose|v.组成,构成;(of)由„组成;创作(诗歌等)
composite|a.混合成的，综合成的 n.合成物，复合材料
composition|n.作品,作文,乐曲;作曲;结构,组成,成分
compound|n.混合物,化合物 a.混合的,化合的；vt.混合
comprehend|vt.理解，领会；包含，包括
comprehension|a.理解(力),领悟；包含，包含力
comprehensive|a.内容广泛的,总括性的，综合的
compress|vt.压紧，压缩；(把思想、文字等)浓缩
comprise|vt.包含，包括，由...组成；构成，组成
compromise|n.妥协，折衷 vi.妥协 vt.危及，放弃(原则等)
compulsory|a.必须做的，强制性的，(课程)必修的
compute|v./n.计算,估计
computer|n.计算机,电脑;计算者
comrade|n.同志,同事,同伴,朋友
conceal|v.隐藏,隐瞒,隐蔽
concede|vt.承认；容许；(比赛结束前)认输；退让
conceive|v.(of)设想,构思,想象;以为;怀胎,怀有
concentrate|v.(on)集中,专心;浓缩 n.浓缩物
concentration|n.专心，专注；集中，集结；浓度
concept|n.概念，观念，设想
concern|v.涉及,关系到 v./n.关心 n.(利害)关系
concerning|prep.关于，论及
concert|n.音乐会,演奏会;一齐,一致
concession|n.让步，妥协；特许(权)；
concise|a.简明的,简洁的
conclude|v.结束,终止;断定,下结论;缔结,议定
conclusion|n.结论，推论；结尾；缔结，议定
concrete|a.具体的,实质性的n.混凝土v.用混凝土修筑
condemn|v.谴责,指责;判刑,宣告有罪
condense|v.(使)冷凝，(使)凝结；浓缩，压缩，简缩
condition|n.条件，状况，环境 vt.决定；支配；训练
conduct|n.行为,品行 v.引导;管理;指挥(乐队);传导
conductor|n.管理者；(汽车)售票员；领队，指挥；导体
confer|v.商讨；授予，颁给(勋衔，学位等)
conference|n.(正式)会议；讨论，商谈
confess|v.供认，承认，坦白，忏悔
confidence|n.(in)信任;信心,自信;秘密,机密
confident|n.(of,in)确信的,自信的
confidential|a.秘(机)密的；表示信任的；担任机密工作的
confine|vt.限制；使不外出，禁闭 n.[pl.]界限，范围
confirm|v.使更坚固,使更坚定;(进一步)证实;确认
conflict|n.战斗,斗争;抵触,冲突 v.(with)抵触,冲突
